"jobTitle-link","jobTitle-link href","jobDate","jobLocation"
"Home Care Support Worker | Aged Care","https://careers.australianunity.com.au/job/Leeton-Home-Care-Support-Worker-Aged-Care-NSW-2705/947638110/","1 Jan 2025","Leeton, NSW, AU, 2705"
"Home Care Support Workers | Aged Care","https://careers.australianunity.com.au/job/Tumut-Home-Care-Support-Workers-Aged-Care-NSW-2720/947639210/","1 Jan 2025","Tumut, NSW, AU, 2720"
"Home Care Support Worker | Aged Care","https://careers.australianunity.com.au/job/Lithgow-Home-Care-Support-Worker-Aged-Care-NSW-2790/947619310/","1 Jan 2025","Lithgow, NSW, AU, 2790"
"Home Care Support Worker - Aged Care","https://careers.australianunity.com.au/job/Orange%2C-Molong-Home-Care-Support-Worker-Aged-Care-NSW-2800%2C-2866/947619810/","1 Jan 2025","Orange, Molong, NSW, AU, 2800, 2866"
"Home Care Support Worker - All Sydney","https://careers.australianunity.com.au/job/Sydney-Home-Care-Support-Worker-All-Sydney-NSW-2000/947631410/","1 Jan 2025","Sydney, NSW, AU, 2000"
"Personal Care Assistants - AM, PN or ND | Kilsyth Location","https://careers.australianunity.com.au/job/Kilsyth-Personal-Care-Assistants-AM%2C-PN-or-ND-Kilsyth-Location-VIC-3137/947613710/","30 Dec 2024","Kilsyth, VIC, AU, 3137"
"Support Worker - Personal Care - New England","https://careers.australianunity.com.au/job/Tamworth-Support-Worker-Personal-Care-New-England-NSW-2340/947583810/","30 Dec 2024","Tamworth, NSW, AU, 2340"
"Support Worker - Entry Level - New England","https://careers.australianunity.com.au/job/Tamworth-Support-Worker-Entry-Level-New-England-NSW-2340/947577210/","30 Dec 2024","Tamworth, NSW, AU, 2340"
"Support Worker - Experienced - New England","https://careers.australianunity.com.au/job/Inverell-Support-Worker-Experienced-New-England-NSW-2360/947583210/","30 Dec 2024","Inverell, NSW, AU, 2360"
"Support Workers - Experienced - Ballina NSW","https://careers.australianunity.com.au/job/Ballina-Support-Workers-Experienced-Ballina-NSW-NSW-2478/1056568166/","30 Dec 2024","Ballina, NSW, AU, 2478"
